1_Tps_b3v08 
Ruminiclostridium herbifermentans
Runella slithyformis
Saccharum procerum
Saccharum rufipilum
Salinivibrio costicola
Sebaldella termitidis
Secondary endosymbiont
Selenomonas ruminantium
Selenomonas sputigena
Selenomonas timonae
Skeletonema grethae
Skeletonema grevillei
Skeletonema japonicum
Skeletonema tropicum
Spiroplasma clarkii
Spiroplasma litorale
Spiroplasma turonicum
Stenotrophomonas maltophilia
Streptomyces albogriseolus
Streptomyces harbinensis
Synthetic construct
Syntrophothermus lipocalidus
Syntrophus aciditrophicus
Tenacibaculum mesophilum
Thalassoglobus polymorphus
Thermincola potens
Thermoactinomyces sp.
Thermoanaerobacter wiegelii
Thermophilic bacterium
Thermotomaculum hydrothermale
Tisochrysis lutea
Treponema caldarium
Tumebacillus algifaecis
Vogesella sp.
Weissella paramesenteroides
Acidaminococcus fermentans
Actinomyces meyeri
Actinomyces qiguomingii
Adlercreutzia equolifaciens
Alistipes onderdonkii
Anaerostipes rhamnosivorans
Bacillus insolitus
Bacillus megaterium
Bacterium strain
Bacteroidales bacterium
Bacteroides caecimuris
Bacteroides eggerthii
Bacteroides luhongzhouii
Bordetella parapertussis
Brevibacterium atlanticum
Brevibacterium limosum
Brevibacterium oceani
Brevibacterium pigmentatum
Brevibacterium siliguriense
Brevibacterium sp.
Brevundimonas intermedia
Burkholderia vietnamiensis
Caldibacillus thermoamylovorans
Capnocytophaga cynodegmi
Carnobacteriaceae bacterium
Chloracidobacterium sp.
Chlorobium limicola
Chlorobium phaeobacteroides
Clostridium cadaveris
Clostridium novyi
Clostridium sordellii
Corynebacterium diphtheriae
Corynebacterium sp.
Cytobacillus kochii
Dechloromonas denitrificans
Dolichospermum sp.
Eggerthella lenta
Ensifer sp.
Exiguobacterium acetylicum
Faecalibacterium CM04-06
Gallinipes pseudodichotomus
Halobacteriovorax marinus
Heyndrickxia sporothermodurans
Heyndrickxia vini
Hymenobacter sp.
Ignavibacteriales bacterium
Isosphaera pallida
Jeotgalibaca arthritidis
Jeotgalibaca ciconiae
Jeotgalibaca dankookensis
Jeotgalibaca porci
Jeotgalibaca sp.
Lentilactobacillus hilgardii
Leptotrichia goodfellowii
Leptotrichia hofstadii
Leptotrichia hongkongensis
Leptotrichia shahii
Lysinibacillus capsici
Lysinibacillus sphaericus
Mammaliicoccus lentus
Mammaliicoccus sciuri
Microbacterium caowuchunii
Microbacterium sp.
Mycobacterium diernhoferi
Mycobacterium fortuitum
Mycobacterium senegalense
Mycobacterium sp.
Mycolicibacterium aubagnense
Mycolicibacterium mucogenicum
Mycolicibacterium nivoides
Mycolicibacterium psychrotolerans
Mycolicibacterium septicum
Nannochloropsis gaditana
Oceanispirochaeta crateris
Paenibacillus agaridevorans
Paenibacillus chitinolyticus
Paenibacillus guangzhouensis
Paenibacillus lutimineralis
Paenibacillus protaetiae
Palmaria palmata
Paraprevotella clara
Pelodictyon luteolum
Pelodictyon phaeoclathratiforme
Peptacetobacter hiranonis
Peribacillus asahii
Phocaeicola coprophilus
Prosthecochloris aestuarii
Providencia rettgeri
Romboutsia sp.
Saccharibacillus brassicae
Saccharum kanashiroi
Schaalia meyeri
Skeletonema ardens
Skeletonema costatum
Skeletonema marinoi
Skeletonema pseudocostatum
Slackia heliotrinireducens
Sodaliphilus pleomorphus
Sphaerobacter thermophilus
Spirosoma sp.
Sporosarcina aquimarina
Sporosarcina soli
Sporosarcina sp.
Staphylospora marina
Stramenopiles sp.
Tripidium ravennae
Trueperella bialowiezensis
Turicibacter sanguinis
Turicibacter sp.
Weissella hellenica
Acetivibrio sp.
Acetivibrio thermocellus
Acetohalobium arabaticum
Acidipropionibacterium jensenii
Acidobacteria bacterium
Alicyclobacillus sp.
Anaerotruncus sp.
Aneurinibacillus thermoaerophilus
Aquimarina sp.
Bacillus fonticola
Bacterium BFN5
Bacteroides nordii
Brevundimonas nasdae
Candidatus Amoebophilus
Carnobacterium sp.
Caulobacteraceae bacterium
Christensenella sp.
Chromobacterium vaccinii
Clostridium citroniae
Clostridium pasteurianum
Clostridium symbiosum
Clostridium tyrobutyricum
Crassaminicella sp.
Dechloromonas sp.
Desulfosporosinus acidiphilus
Desulfosporosinus meridiei
Desulfosporosinus orientis
Eubacterium limosum
Ferribacterium limneticum
Haslea sp.
Heliobacterium modesticaldum
Ignavibacteriae bacterium
Ignavibacterium album
Leadbetterella byssophila
Lysinibacillus sp.
Micrococcus sp.
Negativicoccus massiliensis
Oculatella ucrainica
Paenibacillus cellulosilyticus
Parabacteroides goldsteinii
Parabacteroides johnsonii
Parachlamydia acanthamoebae
Paraprevotella xylaniphila
Phaeodactylum tricornutum
Phocaeicola massiliensis
Rhizobium pusense
Serpentinicella alkaliphila
Simkania negevensis
Solibaculum mannosilyticum
Streptobacillus moniliformis
Synechocystis pevalekii
Bacillus coagulans
Bacterium EBAD13
Bacterium EBAD14
Bacterium EBAD17
Bacterium EBAD54
Bacteroides faecis
Candidatus Desulforudis
Caproicibacter fermentans
Caproiciproducens galactitolivorans
Caproiciproducens sp.
Clostridium botulinum
Clostridium clostridioforme
Clostridium hathewayi
Clostridium indolis
Clostridium septicum
Desulfitobacterium metallireducens
Faecalibacillus intestinalis
Hungateiclostridiaceae bacterium
Kocuria rhizophila
Lachnoanaerobaculum umeaense
Leuconostoc gelidum
Longibaculum sp.
Pandoraea apista
Pseudoprevotella muciniphila
Salinivirga cyanobacteriivorans
Skeletonema menzelii
16S rDNA
Agrobacterium fabacearum
Bacteriovorax marinus
Bacteroides pectinophilus
Borreliella burgdorferi
Burkholderia dolosa
